City,Target,Linear_R2,Linear_MAE,Linear_RMSE
Adelaide,count,0.899342509269103,7.0682839496639485,10.429914162219724
Adelaide,variance,0.7834321870088354,97.52570943312526,177.00644417864592
Adelaide,min,0.47970479850533254,0.7665270875712765,1.1164747735485814
Adelaide,max,0.8448865371535417,4.2859982237043015,7.385130937449633
Brisbane,count,0.9460494558634303,8.740358751918473,12.019122324297603
Brisbane,variance,0.5471904231202397,57.48518637482039,117.69071331097544
Brisbane,min,0.19346719790146594,0.5227276929422217,0.8318555255863603
Brisbane,max,0.7085303069474765,3.4689770803889086,6.019259451042704
Canberra,count,0.7803569003235639,7.574594794477282,9.385814036998195
Canberra,variance,0.6851297398029896,96.77185074679579,178.21676761076216
Canberra,min,0.20277972426461854,0.6886678799790729,1.04923147552416
Canberra,max,0.7983928689583757,3.8937072101910752,6.294808244945311
Darwin,count,0.09006938037773227,9.18084739022729,11.987694023874056
Darwin,variance,0.6138533849674032,62.501851685597046,136.0922197043833
Darwin,min,0.4956021922488444,0.5518684679942921,0.8538274487023914
Darwin,max,0.753288526969061,3.521884350851897,5.990660534171791
Hobart,count,0.5860058276880056,8.1926180630809,11.012728253736267
Hobart,variance,0.10564952155078478,191.9817665758641,279.06927023698137
Hobart,min,0.8576681894018414,0.4294276211648975,0.7159296773540452
Hobart,max,0.0567836299922172,10.553729267986482,13.675815884466555
Launceston,count,0.6952169481592454,14.952321455894637,20.664169665297255
Launceston,variance,0.3032155168838976,224.27001310932025,313.2683871298029
Launceston,min,0.7973091466206141,0.5276969354959387,0.8347132978174077
Launceston,max,0.3451393151349288,13.098499883358523,17.006687132690466
Melbourne,count,0.6949920511724504,13.458826691389167,18.47735384534404
Melbourne,variance,0.7223748397671164,124.4053302205845,208.1379399775857
Melbourne,min,0.48748396921507164,0.7283622479289898,1.0688841065769032
Melbourne,max,0.8375351079556483,4.588302892919901,7.152090405322858
Newcastle,count,0.7498408593949396,15.282717805243724,19.83711611586315
Newcastle,variance,0.6218709375729614,183.5174191240558,247.9079945428136
Newcastle,min,0.38030377762671685,0.5304384095765171,0.8971524529464756
Newcastle,max,0.6342913735504954,8.111036536224463,10.906486365713969
Perth,count,0.8285310989689395,8.94433460768626,13.466911038454025
Perth,variance,0.6393628329184493,122.93939586504061,182.21926510239132
Perth,min,0.38789276327688793,0.5538108659159218,0.896300059291518
Perth,max,0.48783200644779146,5.766895825680515,8.25492271472745
Sydney,count,0.8812093458937045,13.057684125636221,17.293608167234865
Sydney,variance,0.629190972231527,136.18280084511636,210.8718895203948
Sydney,min,0.29646173413801447,0.5427682119884519,0.8975079394373089
Sydney,max,0.751816023792058,5.90223219402049,8.926998132169802
Wollongong,count,0.859426204168833,4.806329448574517,6.290533940757502
Wollongong,variance,0.6393077262399243,163.30058271626837,246.3882391276039
Wollongong,min,0.23967436987366075,0.6771520928793707,1.028250517275392
Wollongong,max,0.7438992855344788,5.616702975815136,8.19578695462307
